stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F02411;Kék Golyó utca;47.497994;19.020837;;;;1;75
F02413;Királyhágó tér;47.495745;19.018994;;;;1;-52
F02414;Királyhágó tér;47.495521;19.019711;;;;2;-158
F02415;Márvány utca;47.494621;19.020478;;;;2;-50
F02416;Csörsz utca;47.490224;19.024424;;;;1;173
F02417;Csörsz utca;47.490782;19.024447;;;;1;-8
F02420;Királyhágó tér;47.494783;19.018848;;;;2;-142
F02421;Királyhágó tér;47.494972;19.019260;;;;1;38
F02422;Agárdi út;47.495169;19.015235;;;;2;-129
F02423;Galántai utca;47.497192;19.014146;;;;2;-63
F02424;Galántai utca;47.497291;19.013270;;;;2;102
F02425;Nárcisz utca;47.495806;19.011071;;;;1;-15
F02426;Nárcisz utca;47.496264;19.010752;;;;2;170
F02427;Tarpatak utca;47.509581;18.997490;;;;2;-109
F02428;Tarpatak utca;47.509428;18.997158;;;;2;80
F02429;Vöröskő utca;47.496929;19.007367;;;;1;-152
F02430;Vöröskő utca;47.496668;19.007341;;;;1;17
F02431;Szendrő utca;47.495390;19.004237;;;;1;-79
F02433;Szendrő utca;47.495255;19.004316;;;;1;100
F02434;Pagony utca;47.494931;19.003096;;;;1;13
F02435;Sólyom utca;47.496980;19.000117;;;;2;-3
F02436;Sólyom utca;47.497142;18.999957;;;;2;173
F02437;Tamási Áron utca / Thomán István utca;47.497159;18.998126;;;;2;-167
F02438;Tamási Áron utca / Thomán István utca;47.496728;18.998166;;;;2;8
F02439;Thomán István utca;47.494641;18.998513;;;;2;2
F02440;Városkút;47.500114;18.989766;;;;1;131
F02441;Városkút;47.500321;18.989659;;;;1;-49
F02442;Svábhegy;47.497524;18.989742;;;;1;-142
F02443;Ordas út;47.498490;18.980570;;;;1;-71
F02444;Ordas út;47.498230;18.981367;;;;1;110
F02445;Őzike köz;47.499540;18.976428;;;;1;-87
F02446;Őzike köz;47.499423;18.977225;;;;2;101
F02447;Fülemile út;47.499645;18.972592;;;;1;-89
F02448;Fülemile út;47.499547;18.973389;;;;1;88
F02449;Normafa, Gyermekvasút;47.500391;18.970653;;;;1;-47
F02450;Normafa, Gyermekvasút;47.500157;18.970840;;;;1;130
F02451;Csillagvizsgáló;47.500315;18.964734;;;;1;-160
F02452;Csillagvizsgáló;47.500135;18.964748;;;;2;20
F02453;Csillebérc, Gyermekvasút;47.497706;18.963955;;;;2;178
F02454;Csillebérc, Gyermekvasút;47.497724;18.964075;;;;2;-2
F02455;Sötétvágás utca;47.494864;18.964663;;;;2;164
F02456;Sötétvágás utca;47.495377;18.964569;;;;2;-16
